,ASX code,Company name,Security type,ISIN code,hashtags,cashtags
0,MOQ,MOQ LIMITED,ORDINARY FULLY PAID,AU000000MOQ5,#MOQ,$MOQ
1,ONT,1300 SMILES LIMITED,ORDINARY FULLY PAID,AU000000ONT7,#ONT,$ONT
2,14D,1414 DEGREES LIMITED,ORDINARY FULLY PAID,AU0000010696,#14D,$14D
3,1ST,1ST GROUP LTD,ORDINARY FULLY PAID,AU0000001ST0,#1ST,$1ST
4,29M,29METALSLIMITED,ORDINARY FULLY PAID,AU0000157067,#29M,$29M
5,T3D,333D LIMITED,ORDINARY FULLY PAID,AU000000T3D6,#T3D,$T3D
6,3MF,3D METALFORGE,ORDINARY FULLY PAID,AU0000130122,#3MF,$3MF
7,TDO,3D OIL LIMITED,ORDINARY FULLY PAID,AU000000TDO8,#TDO,$TDO
8,DDD,3D RESOURCES LIMITED,ORDINARY FULLY PAID,AU000000DDD5,#DDD,$DDD
9,3PL,3P LEARNING LTD,ORDINARY FULLY PAID,AU0000003PL9,#3PL,$3PL
10,4DX,4DMEDICAL LIMITED,ORDINARY FULLY PAID,AU0000095416,#4DX,$4DX
11,4DS,4DS MEMORY LIMITED,ORDINARY FULLY PAID,AU0000004DS8,#4DS,$4DS
12,5GN,5G NETWORKS LIMITED,ORDINARY FULLY PAID,AU0000005GN9,#5GN,$5GN
13,88E,88 ENERGY LTD,ORDINARY FULLY PAID,AU00000088E2,#88E,$88E
14,8AU,8AULTD,ORDINARY FULLY PAID,AU0000183576,#8AU,$8AU
15,8CO,8COMMON LIMITED,ORDINARY FULLY PAID,AU0000008CO0,#8CO,$8CO
16,9SP,9 SPOKES INT LIMITED,ORDINARY FULLY PAID,NZ9SPE0001S1,#9SP,$9SP
17,92E,92ENERGY,ORDINARY FULLY PAID,AU0000139941,#92E,$92E
18,99LAA,99 LOYALTY LTD.,ORDINARY FULLY PAID,AU0000156507,#99LAA,$99LAA
19,ACB,A-CAP ENERGY LTD,ORDINARY FULLY PAID,AU000000ACB7,#ACB,$ACB
20,AYI,A1 INVEST & RES LTD,ORDINARY FULLY PAID,AU000000AYI6,#AYI,$AYI
21,A2B,A2B AUSTRALIA LTD,ORDINARY FULLY PAID,AU0000032187,#A2B,$A2B
22,ABL,ABILENE OIL & GAS,ORDINARY FULLY PAID,AU000000ABL8,#ABL,$ABL
23,AEG,ABSOLUTE EQUITY PERF,ORDINARY FULLY PAID,AU000000AEG2,#AEG,$AEG
24,AKG,ACADEMIES AUS GRP,ORDINARY FULLY PAID,AU000000AKG9,#AKG,$AKG
25,AX8,ACCELERATE RESOURCES,ORDINARY FULLY PAID,AU000000AX84,#AX8,$AX8
26,AX1,ACCENT GROUP LTD,ORDINARY FULLY PAID,AU000000AX19,#AX1,$AX1
